Filename,Text,Fetched from,Timestamp,Obvious emotion,Intensity,Offensive,Level of offensive,Beeped
1_00161,"All of your other girlfriends were fit and thin and then you bring. Bethany is fit. No she is not fit. You aren't worried about life expectancy, she is out of shape",https://www.youtube.com/watch?v=mLG4ArsG_ts,2:07 - 2:15,neutral,low,yes,3,no
1_00162,"You clearly don't care about your body. You guys can relax now, it's ridiculous. You know what alright, I am just gonna have to say it, she is fat.",https://www.youtube.com/watch?v=mLG4ArsG_ts,2:18 - 2:26,neutral,low,yes,4,no
1_00163,"i can't accept it, you are huge, you are too big for my son. Let us know when you meet somebody else, alright.",https://www.youtube.com/watch?v=mLG4ArsG_ts,7:08 - 7:15,neutral,low,yes,4,no
1_00164,"your fucking allah, allah. You fucking muslim",https://www.youtube.com/watch?v=KHx21vr624Y,1:57 - 2:03,angry,med,yes,5,no
1_00165,"If you are in america, you should speak american english",https://www.youtube.com/watch?v=Cr_-xnWnEbk,0:04 - 0:08,angry,med,yes,4,no
1_00166,"you are a nobody. Just because you come from another country, it will make you nobody.",https://www.youtube.com/watch?v=pCeHrHFGZik,0:36 - 0:43,angry,high,yes,4,no
1_00167,"You know what. What? You guys are acting like black people, you shouldn't, you should act like white people",https://www.youtube.com/watch?v=JuEuSl5gaWM,0:03 - 0:09,neutral,low,yes,4,no
1_00168,"You are black person in a white neighborhood, and you are acting like one. Why don't you act like a white person in a white neighborhood.",https://www.youtube.com/watch?v=JuEuSl5gaWM,1:30 - 1:36,angry,high,yes,5,no
1_00169,"hey, where are you from? Are you from China. I am from Japan. I don't think there is a difference man, you should probably go back to your country though.",https://www.youtube.com/watch?v=SM7gsJyunvE,0:03 - 0:10,neutral,low,yes,3,no
1_00170,"You worship the buffalo, a damn buffalo can't save you.",https://www.youtube.com/watch?v=SG_E2g3fL8M,0:45 - 0:48,angry,high,yes,4,no
1_00171,A bunch of incest babies. A bunch of babies made out of incest,https://www.youtube.com/watch?v=SG_E2g3fL8M,1:18 - 1:23,angry,high,yes,5,no
1_00172,A bunch of donald trump's incest children,https://www.youtube.com/watch?v=SG_E2g3fL8M,1:51 - 1:54,angry,high,yes,5,no
1_00173,"Not a black male, not a chinese male, with his eyes like this.",https://www.youtube.com/watch?v=kMvfEdTUO6Q,0:21 - 0:25,happy,high,yes,4,no
1_00174,"You can sit and be quite, that's fine. I don't wanna hear your language.",https://www.youtube.com/watch?v=dF41XxbFbr8&list=RDKHx21vr624Y&index=3,0:00 - 0:05,neutral,low,yes,2,no
1_00175,"you fucking jews, can't get your game down when you are done",https://www.youtube.com/watch?v=6tb_PiHTwAY&list=RDKHx21vr624Y&index=6,0:50 - 0:56,disgust,med,yes,3,no
1_00176,"Oh man, what genius put the retard in a express line",https://www.youtube.com/watch?v=B2rNcs27Dpg&list=RDKHx21vr624Y&index=14,0:29 - 0:32,disgust,med,yes,4,no
1_00177,"This might take a while, we are in retarted line. Oh I don't think so. Look how slow he is going",https://www.youtube.com/watch?v=B2rNcs27Dpg&list=RDKHx21vr624Y&index=14,1:11 - 1:17,neutral,low,yes,4,no
1_00178,"Honey, I hope you are not in a rush, because this is the retarted lane.",https://www.youtube.com/watch?v=B2rNcs27Dpg&list=RDKHx21vr624Y&index=14,3:50 - 3:54,neutral,low,yes,4,no
1_00179,"I want to be served by an american. Did I do anything wrong. Yeah, being in this country, taking jobs from real americans, yeah. You should be ashamed of yourself",https://www.youtube.com/watch?v=KAuecX_971A,1:48 - 1:58,neutral,low,yes,3,no
1_00180,You don't think that job should belong to a natural born american,https://www.youtube.com/watch?v=KAuecX_971A,4:04 - 4:08,neutral,low,yes,3,no
1_00181,"he doesn't look american, he doesn't look like us",https://www.youtube.com/watch?v=KAuecX_971A,4:12 - 4:14,disgust,med,yes,3,no
1_00182,"ok, here's the demand, your kind are taking jobs from americans and I feel like if I let you serve me I am supporting that. Did i do anything wrong, kind of yeah, we are building a wall to keep your kind out",https://www.youtube.com/watch?v=KAuecX_971A,5:53 - 6:04,neutral,low,yes,4,no
1_00183,Why would she wear those yoga pants. I think somebody who looks like that would wanna cover up and hide as much as possible,https://www.youtube.com/watch?v=Y2qWytOjV84,0:03 - 0:10,disgust,med,yes,4,no
1_00184,Yoga pants aren't for everyone and you are proof of that. You are just so skinny,https://www.youtube.com/watch?v=Y2qWytOjV84,7:32 - 7:37,disgust,med,yes,4,no
1_00185,You adopted a black baby on purpose. Yes. Are you one of these white women who are trying to rescue all the balck babies,https://www.youtube.com/watch?v=qm1Pd7bctaU,0:32 - 0:40,neutral,low,yes,4,no
1_00186,What are you one of those white women trying to save all the black babies.,https://www.youtube.com/watch?v=qm1Pd7bctaU,3:46 - 3:49,disgust,med,yes,4,no
1_00187,"I mean, you had an option, you didn't have to get a black child. I guess not, no. Trying to rescue the black babies.",https://www.youtube.com/watch?v=qm1Pd7bctaU,6:18 - 6:25,neutral,low,yes,4,no
1_00188,"People with down syndrome have a guardian; where is your guardian? I am trying to enjoy my night. Well you are slowing everything down, these people haven't recieved there order, these people haven't recieved.",https://www.youtube.com/watch?v=tHEwEvAXxos,1:56 - 2:04,angry,low,yes,5,no
1_00189,Why are you defending a retarded kid?,https://www.youtube.com/watch?v=tHEwEvAXxos,2:20 - 2:22,angry,high,yes,5,no
1_00190,I didn't even know that people with down syndrome could even go out by themselves,https://www.youtube.com/watch?v=tHEwEvAXxos,3:46 - 3:49,neutral,low,yes,3,no
1_00191,This is gonna take all day with somebody like him. He's obviously mentally challenged,https://www.youtube.com/watch?v=tHEwEvAXxos,4:52 - 4:56,angry,low,yes,5,no
1_00192,I didn't even know mexicans were that smart,https://www.youtube.com/watch?v=Dq9EIDmB3M4,1:22 - 1:24,happy,high,yes,4,no
1_00193,Shut up. Speaking in chinese in front of me. Shut up. You are rude. Speak english in Canada. Who I do complain about this. Shut up.,https://www.youtube.com/watch?v=hmyrBMCb7jw,0:03 - 0:13,angry,high,yes,5,no
1_00194,"The way I used to talk to the jews in Boca. They hated me because I was a server. I just didn't care, and they complained and bitched about everything.",https://www.youtube.com/watch?v=Dq9EIDmB3M4,2:00 - 2:09,happy,high,yes,5,no
1_00195,"Cause you are dumb, and you are a stupid, blue, asian haired girl.",https://www.youtube.com/watch?v=c_dlKnhY1D8,0:07 - 0:12,disgust,med,yes,4,no
1_00196,"But you are not black. Remember, we only kill black people Yeah, we only kill black people right?",https://www.youtube.com/watch?v=DQq4okYH45I,0:33 - 0:40,neutral,low,yes,4,no
1_00197,Why? Cause he is a bitch ass niggar.,https://www.youtube.com/watch?v=F5DE7KS2VI0,3:47 - 3:49,angry,high,yes,4,no
1_00198,You stupid niggar bitch. Who the fuck you calling a niggar? You mutherfucker,https://www.youtube.com/watch?v=q3viJie6rIc,0:06 - 0:10,angry,high,yes,4,no
1_00199,"See what fucking happens, you god damn nigger",https://www.youtube.com/watch?v=q3viJie6rIc,0:45 - 0:47,angry,high,yes,4,no
1_00200,"God you are ugly, no wonder why people hate you. Israelis rule, because you guys are ugly.",https://www.youtube.com/watch?v=kvZrBrxnav4,2:02 - 2:12,angry,high,yes,5,yes
1_00201,"What country are you from. Who are you. I am gonna call the police. You don't run into people, I am a citizen here, you are not. You are an ugly fucking foreigner, so fuck you.",https://www.youtube.com/watch?v=y3jXyq6B2i4,2:15 - 2:23,angry,high,yes,5,yes
1_00202,"If they have the balls to come here and live of off my money, I pay for their well fare, I pay for their ability to be here. So the least they could do, the least they could do, is speak english.",https://www.youtube.com/watch?v=yD6ltHh0n9g,0:22 - 0:31,angry,high,yes,4,no
1_00203,Sorry i know that's probably not funny for any mildly autistic people in the audience and then again nothing is,https://www.youtube.com/watch?v=ZZb_POyXd1Q,0:26 - 0:31,humour,high,yes,4,no
1_00204,it's a gay microphone called mohammed and all it wants to do is roll a Quran up and fuck itself up the ass,https://www.youtube.com/watch?v=ZZb_POyXd1Q,1:51 - 1:58,humour,high,yes,5,no
1_00205,I personally think global warning is a myth like world war two and women's rights,https://www.youtube.com/watch?v=ZZb_POyXd1Q,3:51 - 3:56,humour,high,yes,4,no
1_00206,"People say dolphins are really intelligent, I think yeah, but only compared to the retarded kids we've got them swimming with",https://www.youtube.com/watch?v=ZZb_POyXd1Q,4:33 - 4:38,humour,high,yes,2,no
1_00207,"On the subject of abortions, a lot of people support a women's right to choose but I think if I am paying for it. I am joking, I never pay.",https://www.youtube.com/watch?v=ZZb_POyXd1Q,4:43 - 4:53,humour,high,yes,3,no
1_00208,"How do you get a hundred jews into a mini van, one in the driving seart, ninety nine in the ash tray,",https://www.youtube.com/watch?v=j5amrixqlQ8,0:00 - 0:06,neutral,low,yes,5,no
1_00209,"They say, there is safety in numbers. Yeah, tell that to six million jews",https://www.youtube.com/watch?v=ZZb_POyXd1Q,5:10 - 5:14,humour,high,yes,5,no
1_00210,"If only africa had more mosquito nets, then every year we could save millions of mosquitos from dying needlessly of AIDS.",https://www.youtube.com/watch?v=YfLD8ETxYOw,4:38 - 4:46,humour,high,yes,4,no
1_00211,"There's no physical ramifications for being an asshole when you are a women. Do you know how much of a dick I would be, if it was socially unacceptable to kick the shit out of me.",https://www.youtube.com/watch?v=YfLD8ETxYOw,6:09 - 6:19,humour,high,yes,3,no
1_00212,I called you a nigger. You are a nigger. A nasty fucking nigger.,https://www.youtube.com/watch?v=Zyc7NBflLdI,0:00 - 0:08,angry,high,yes,5,no
1_00213,"Becuase I called him a racist, because he is a racist ignorant nigger.",https://www.youtube.com/watch?v=Zyc7NBflLdI,2:31 - 2:35,angry,high,yes,3,no
1_00214,I have this nightmare that i go to hollywood and find out that Mr. T is a faggot,https://www.youtube.com/watch?v=_nFaR557WWk,1:22 - 1:26,humour,high,yes,5,no
1_00215,School books for children to teach them gay life styles. I am gonna have to draw the line here folks and say this is absolutely disgusting. It is grotesque and evil.,https://www.youtube.com/watch?v=_nFaR557WWk,3:04 - 3:08 + 3:20 - 3:32,humour,high,yes,5,no
1_00216,"like a lot of christians wear crosses around their necks, nice sentiment, but do you think when jesus comes back, he's really gonna want to look at a cross",https://www.youtube.com/watch?v=_nFaR557WWk,4:35 - 4:43,humour,high,yes,5,no
1_00217,"What a fucking nigger. Jesus, Oh my god. What the fuck. Sorry, but what the fuck. What a fucking ass hole.",https://www.youtube.com/watch?v=czC6YZajaQg,2:48 - 2:56,angry,high,yes,4,no
1_00218,You know you are a stupid nigger right. You fucking nigger.,https://www.youtube.com/watch?v=czC6YZajaQg,5:17 - 5:20,angry,high,yes,4,no
1_00219,Shut up you fucking nigger bitch. Slut.,https://www.youtube.com/watch?v=czC6YZajaQg,5:40 - 5:43,angry,high,yes,5,no
1_00220,"She's a fucking nigger. You're a nigger, you fucking ugly ass bitch.",https://www.youtube.com/watch?v=czC6YZajaQg,5:51 - 5:55,angry,high,yes,5,no
